id,game_id,game_date,quarter,time,play_description,home_score,away_score,team,player
1265,m9sh1b3jm0p1,2025-01-20,Q2,0:48.3,"Arike Ogunbowale makes three point shot",32,47,Vinyl,"Arike Ogunbowale"
1266,m9sh1b3jm0p1,2025-01-20,Q2,0:48.3,"Dearica Hamby assist",32,47,Vinyl,"Dearica Hamby"
1267,m9sh1b3jm0p1,2025-01-20,Q2,0:39.4,"Sabrina Ionescu assist",32,47,Phantom,"Sabrina Ionescu"
1268,m9sh1b3jm0p1,2025-01-20,Q2,0:39.4,"Brittney Griner makes two point shot",34,47,Phantom,"Brittney Griner"
1269,m9sh1b3jm0p1,2025-01-20,Q2,0:29.1,"Arike Ogunbowale misses two point shot",34,47,Vinyl,"Arike Ogunbowale"
1270,m9sh1b3jm0p1,2025-01-20,Q2,0:28.3,"Sabrina Ionescu defensive rebound",34,47,Phantom,"Sabrina Ionescu"
1271,m9sh1b3jm0p1,2025-01-20,Q2,0:23.9,"Sabrina Ionescu assist",34,47,Phantom,"Sabrina Ionescu"
1272,m9sh1b3jm0p1,2025-01-20,Q2,0:23.9,"Brittney Griner makes two point shot",36,47,Phantom,"Brittney Griner"
1273,m9sh1b3jm0p1,2025-01-20,Q2,0:21.7,"Natisha Hiedeman personal foul",36,47,Phantom,"Natisha Hiedeman"
1274,m9sh1b3jm0p1,2025-01-20,Q2,0:20.4,"Dearica Hamby misses free throw (2pt.)",36,47,Vinyl,"Dearica Hamby"
1275,m9sh1b3jm0p1,2025-01-20,Q2,0:19.2,"Sabrina Ionescu defensive rebound",36,47,Phantom,"Sabrina Ionescu"
1276,m9sh1b3jm0p1,2025-01-20,Q2,4.7,"Sabrina Ionescu  bad pass turnover",36,47,Phantom,"Sabrina Ionescu"
1277,m9sh1b3jm0p1,2025-01-20,Q2,1.6,"Arike Ogunbowale makes two point shot",36,49,Vinyl,"Arike Ogunbowale"
1278,m9sh1b3jm0p1,2025-01-20,Q2,0.0,"Sabrina Ionescu misses three point shot",36,49,Phantom,"Sabrina Ionescu"
1279,m9sh1b3jm0p1,2025-01-20,Q2,0.0,"Vinyl defensive team rebound",36,49,Vinyl,NULL
1280,m9sh1b3jm0p1,2025-01-20,Q2,6:24,"End of the 2nd Quarter",36,49,NULL,NULL
1281,m9sh1b3jm0p1,2025-01-20,Q3,6:46,"Natasha Cloud makes three point shot",39,49,Phantom,"Natasha Cloud"
1282,m9sh1b3jm0p1,2025-01-20,Q3,6:46,"Satou Sabally assist",39,49,Phantom,"Satou Sabally"
1283,m9sh1b3jm0p1,2025-01-20,Q3,6:30,"Arike Ogunbowale makes two point shot",39,51,Vinyl,"Arike Ogunbowale"
1284,m9sh1b3jm0p1,2025-01-20,Q3,6:21,"Satou Sabally  lost ball turnover",39,51,Phantom,"Satou Sabally  lost ball"
1285,m9sh1b3jm0p1,2025-01-20,Q3,6:11,"Arike Ogunbowale misses three point shot",39,51,Vinyl,"Arike Ogunbowale"
1286,m9sh1b3jm0p1,2025-01-20,Q3,6:10,"Satou Sabally defensive rebound",39,51,Phantom,"Satou Sabally"
1287,m9sh1b3jm0p1,2025-01-20,Q3,6:07,"Satou Sabally  bad pass turnover",39,51,Phantom,"Satou Sabally"
1288,m9sh1b3jm0p1,2025-01-20,Q3,5:58,"Rhyne Howard misses three point shot",39,51,Vinyl,"Rhyne Howard"
1289,m9sh1b3jm0p1,2025-01-20,Q3,5:57,"Natasha Cloud defensive rebound",39,51,Phantom,"Natasha Cloud"
1290,m9sh1b3jm0p1,2025-01-20,Q3,5:51,"Natasha Cloud assist",39,51,Phantom,"Natasha Cloud"
1291,m9sh1b3jm0p1,2025-01-20,Q3,5:51,"Satou Sabally makes three point shot",42,51,Phantom,"Satou Sabally"
1292,m9sh1b3jm0p1,2025-01-20,Q3,5:33,"Dearica Hamby misses two point shot",42,51,Vinyl,"Dearica Hamby"
1293,m9sh1b3jm0p1,2025-01-20,Q3,5:32,"Satou Sabally defensive rebound",42,51,Phantom,"Satou Sabally"
1294,m9sh1b3jm0p1,2025-01-20,Q3,5:27,"Natasha Cloud makes two point shot",44,51,Phantom,"Natasha Cloud"
1295,m9sh1b3jm0p1,2025-01-20,Q3,5:27,"Satou Sabally assist",44,51,Phantom,"Satou Sabally"
1296,m9sh1b3jm0p1,2025-01-20,Q3,5:16,"Rhyne Howard makes two point shot",44,53,Vinyl,"Rhyne Howard"
1297,m9sh1b3jm0p1,2025-01-20,Q3,4:59,"Satou Sabally misses two point shot",44,53,Phantom,"Satou Sabally"
1298,m9sh1b3jm0p1,2025-01-20,Q3,4:57,"Arike Ogunbowale defensive rebound",44,53,Vinyl,"Arike Ogunbowale"
1299,m9sh1b3jm0p1,2025-01-20,Q3,4:54,"Sabrina Ionescu personal foul",44,53,Phantom,"Sabrina Ionescu"
